0 (69.888000000000034, -327.54587844028083, -257.6578784402808)
1 (50.317495312049402, -307.24511091579586, -256.92761560374646)
2 (27.058090120141106, -279.00749012493486, -251.94940000479374)
3 (37.932347990266891, -294.7626072333768, -256.83025924310994)
4 (45.649464100537408, -300.73846119533977, -255.08899709480235)
5 (56.731353117222476, -310.89093666532779, -254.1595835481053)
6 (81.271969851533157, -337.26663195972372, -255.99466210819057)
7 (97.43959948264208, -354.29502580608943, -256.85542632344732)
8 (91.829739949291437, -347.77717145459405, -255.94743150530263)
9 (87.18488262798077, -342.96447662791138, -255.77959399993063)
10 (87.789316544761618, -343.36336361139428, -255.57404706663266)
11 (82.147272300816013, -337.21380819741961, -255.0665358966036)
12 (79.691927598610576, -333.41473144823294, -253.72280384962238)
13 (81.376123035662502, -337.19027471644335, -255.81415168078087)
14 (80.366818438432063, -336.08092186735644, -255.71410342892437)
15 (78.203114422052479, -329.8674574848792, -251.66434306282673)
16 (88.65138544710986, -345.21867361569809, -256.56728816858822)
17 (85.561343679220727, -341.21154945545737, -255.65020577623665)
18 (75.49351372582224, -330.11419842209955, -254.62068469627729)
19 (81.129250169036283, -334.11789253963298, -252.98864237059669)
20 (99.788481318622317, -356.34640914116716, -256.55792782254485)
21 (90.272941059982969, -342.09491286889704, -251.82197180891407)
22 (81.791570902980155, -334.89384363247223, -253.10227272949209)
23 (74.585748014829932, -325.92478166962775, -251.33903365479782)
24 (81.34247824288849, -334.20119132821594, -252.85871308532745)
25 (87.252187737348919, -339.64269186247469, -252.39050412512577)
26 (89.699326008960142, -340.39587716753221, -250.69655115857205)
27 (95.171711450271701, -350.1161031473095, -254.94439169703782)
28 (87.35696296290827, -333.72267313785812, -246.36571017494987)
29 (98.425530609584925, -335.40842568759183, -236.98289507800689)
30 (113.9281742958236, -351.9832466020697, -238.0550723062461)
31 (107.63944223755908, -346.03144869639522, -238.39200645883614)
32 (96.688744450471816, -335.51305768240394, -238.82431323193214)
33 (92.212195068213589, -330.72715666346687, -238.51496159525328)
34 (88.818801480423403, -325.72637845840109, -236.90757697797767)
35 (84.134534558495943, -321.057354718981, -236.92282016048506)
36 (86.576013654970083, -324.90224276941336, -238.32622911444327)
37 (92.640839093614346, -329.67934061275685, -237.0385015191425)
38 (93.258457971171836, -313.48520582642607, -220.22674785525425)
39 (133.89932868870449, -327.55933046552877, -193.66000177682429)
40 (116.95198312516112, -288.21812092684627, -171.26613780168515)
41 (172.02219856471453, -300.61773801814923, -128.5955394534347)
42 (1010.5765141593664, -192.68398396431166, 817.89253019505475)
43 (1007155.1141307654, 4159.5884244461613, 1011314.7025552116)
